geneSymbol logFC P.Value adj.P.Val
5930416I19Rik 1.20564003121913 9.81934721828786e-11 9.37124208729456e-09
Cenpf 2.51550385479578 1.00340481290765e-10 9.50074242142877e-09
Orm1 2.38122999355759 1.01934748405411e-10 9.5762917935552e-09
1700001C19Rik -1.61905515368943 1.06766145595305e-10 9.95242558746929e-09
Melk 2.03474704715267 1.07635934200466e-10 9.95632391354313e-09
4632434I11Rik 1.95519728348177 1.09875055203253e-10 1.00858590749551e-08
Hirip3 1.41636762418343 1.1185980696006e-10 1.01902589295054e-08
Kntc1 1.96145970352371 1.15938818819023e-10 1.04333163286683e-08
Cenpw 1.91480572862164 1.16263150772686e-10 1.04333163286683e-08
Esco2 3.49731927463185 1.18947584128226e-10 1.05951459195698e-08
Mup-ps2 -1.1693129874699 1.2209553210563e-10 1.07313189273867e-08
Ano10 1.30662975823828 1.22261180295382e-10 1.07313189273867e-08
Lrg1 2.46658020275389 1.24968281833136e-10 1.08894462974164e-08
Sgol2 2.34215185522507 1.3049866666658e-10 1.11615132314075e-08
Frrs1 1.35080464762888 1.30701768929483e-10 1.11615132314075e-08
Eme1 1.39658938775144 1.30875123960786e-10 1.11615132314075e-08
Wdr62 1.25982254725662 1.32742434253712e-10 1.12014717740646e-08
Stmn1 4.26497041587818 1.33206691367255e-10 1.12014717740646e-08
Kifc1 2.94839902662609 1.36826546647184e-10 1.14259668293916e-08
Cenpp 2.2022802351565 1.52982080994377e-10 1.26269851591196e-08
Nln 0.88287499077129 1.53308925840454e-10 1.26269851591196e-08
Alg8 1.68327444804445 1.54910134001914e-10 1.26720704855307e-08
2700094K13Rik 2.77416359430168 1.57272433244784e-10 1.27126324423447e-08
F630043A04Rik 2.36229061788859 1.57520352092254e-10 1.27126324423447e-08
Gm11223 3.97551244506293 1.63863209614592e-10 1.30509202296327e-08
Suv39h1 1.62524390643458 1.63882657353392e-10 1.30509202296327e-08
Ccdc99 2.14072759945885 1.65900614999466e-10 1.31247032590038e-08
Nsl1 1.43751204809225 1.67691045692568e-10 1.31796393755106e-08
4930547N16Rik 2.20009077103414 1.73816701306997e-10 1.35723755403678e-08
Asf1b 2.02270150549291 1.75423177489885e-10 1.36094432859088e-08
Smpd3 2.13606467255874 1.81013614962602e-10 1.38843225363183e-08
Espl1 1.65835170537449 1.81275562428439e-10 1.38843225363183e-08
2610034B18Rik 0.852541104160725 1.96490090091388e-10 1.49188295525431e-08
Syt12 1.97713682298625 1.97263525892253e-10 1.49188295525431e-08
Gm8203 1.99634898925936 2.07282740852008e-10 1.55785934921587e-08
Ankle1 1.86510236329035 2.14006096697807e-10 1.59770355464905e-08
Dsn1 1.73311257376791 2.153036959607e-10 1.59770355464905e-08
Arhgap19 1.93541223078658 2.16570211565734e-10 1.59770355464905e-08
Sae1 1.81682453134044 2.18930959221875e-10 1.6052712101482e-08
Mup-ps6 -1.30367276565977 2.23728220611512e-10 1.63050415324451e-08
Depdc1a 2.50565537735225 2.28721568541572e-10 1.65685353115205e-08
Eri2 1.55072712275871 2.37116493137614e-10 1.70738073651485e-08
2610002D18Rik 1.96705288987764 2.48282170601637e-10 1.77713875088374e-08
Kpna2 2.86300111060537 2.54953173945837e-10 1.81408989153769e-08
Gm6788 2.22108086145004 2.61306096779952e-10 1.84835636104642e-08
Tmem176b 1.0427943423143 2.68621936209246e-10 1.88899344030186e-08
Ces1e -2.54710785249968 2.72875894353071e-10 1.9077515288347e-08
Gm13775 -2.78977322215521 2.82314648978431e-10 1.96233159188765e-08
Cyp4a31 2.0224718593617 2.84095164627366e-10 1.96335882450809e-08
Nrm 1.79848075225826 2.90624595643361e-10 1.99700615006367e-08
Gen1 1.19500932532164 2.96563007432098e-10 2.02296338481105e-08
H2afz 1.99644947400601 2.97766751859922e-10 2.02296338481105e-08
Cep55 1.94972163072258 3.07494634147384e-10 2.06203549243659e-08
Ckap5 1.53695738024989 3.07789337322417e-10 2.06203549243659e-08
Slc41a2 2.21319448276199 3.09113104472589e-10 2.06203549243659e-08
Slc39a1 0.989561040094348 3.10445538800624e-10 2.06203549243659e-08
Stil 1.29886234913196 3.13675749168255e-10 2.06203549243659e-08
Cnot6 0.918208747651125 3.13806648745028e-10 2.06203549243659e-08
Gm12355 1.00909008885041 3.23276903387192e-10 2.10693841142778e-08
Tmprss2 1.58214584192231 3.24144370988889e-10 2.10693841142778e-08
Plxnb1 1.31055948010036 3.4788043412338e-10 2.2490657098568e-08
Gm10184 2.60240114915962 3.53187491889098e-10 2.27116555613177e-08
H2afx 2.92622616771266 3.65569024163035e-10 2.32738839470925e-08
Pkmyt1 2.62664097277013 3.65801585530185e-10 2.32738839470925e-08
Rad9 0.911741255900857 3.75764784851151e-10 2.35878466315784e-08
Rrm1 2.24185568110433 3.79120510313197e-10 2.35878466315784e-08
Lipc -1.27286650297074 3.79876428369876e-10 2.35878466315784e-08
Gm10259 2.60348331992464 3.80369952356821e-10 2.35878466315784e-08
Gm5620 2.28558607685033 3.80544053765173e-10 2.35878466315784e-08
Ppp4r1 1.03103232309476 3.83930381419273e-10 2.36757068541885e-08
Polq 1.0949212295164 3.87255592622677e-10 2.37589209249372e-08
Flot2 1.33584194223679 3.91592802834194e-10 2.39030632186862e-08
Reep4 2.43288182014672 4.04225517427443e-10 2.4537926825527e-08
Tmpo 1.6286041917452 4.06380654691209e-10 2.4537926825527e-08
Mastl 1.82547058491608 4.08115207077372e-10 2.4537926825527e-08
Pole3 1.20544900719721 4.11817526769903e-10 2.46373420866074e-08
Ywhah 1.63767237610876 4.17626509594673e-10 2.48611820686928e-08
Cml1 -1.86206052076162 4.29889328007131e-10 2.54047668601976e-08
Neurl1b 2.81448795426509 4.31033441314344e-10 2.54047668601976e-08
Mybl1 2.20130126961215 4.33095817575095e-10 2.54047668601976e-08
Flot1 1.56687175664564 4.41519863801356e-10 2.56965726748814e-08
Steap4 3.42439465295046 4.42344327958458e-10 2.56965726748814e-08
Dynll1 2.15698772917481 4.56967288160134e-10 2.62993495456529e-08
Rbl1 1.89092974606563 4.57094723911972e-10 2.62993495456529e-08
Dnajc10 1.96413771413969 4.67088349684348e-10 2.67463685950204e-08
1810049H13Rik -1.04226162324283 4.85071443280399e-10 2.76444744333971e-08
Ube2t 2.03180189537056 5.1474086914269e-10 2.91969761860417e-08
Gm5593 2.47078133465641 5.23795200608537e-10 2.95524291881405e-08
Gas2l3 1.81643066517224 5.25922648337802e-10 2.95524291881405e-08
Wee1 1.62530542857906 5.45744155647017e-10 3.05235975425832e-08
Gm6682 2.52156915530416 5.62592664812108e-10 3.13202629368778e-08
Mup-ps10 -0.952020379874228 5.78163384212636e-10 3.20387773970366e-08
Gm14150 2.53438190523807 5.88659932213375e-10 3.247080589388e-08
Ndc80 2.63464569087967 5.92562411709499e-10 3.25093087437619e-08
Rad21 1.52263112840331 5.97328336281293e-10 3.25093087437619e-08
Rad51 1.75632896469234 6.00009993707072e-10 3.25093087437619e-08
Arf6 1.13131878252668 6.00171853730989e-10 3.25093087437619e-08
Khk -1.22792549301834 6.03855337830464e-10 3.25621544278535e-08
Ercc6l 1.62333316801336 6.32747025369021e-10 3.39677811609932e-08
Stat3 1.23390038279995 6.38977313225078e-10 3.40558459834789e-08
Zdhhc2 0.907296923318391 6.40051658400518e-10 3.40558459834789e-08
Capza1 0.878138368201076 6.4630716194237e-10 3.41428989249294e-08
Ska1 1.57839088409017 6.47366399574545e-10 3.41428989249294e-08
Cpd 1.22619657425241 6.88477754032905e-10 3.61525982194135e-08
4632419I22Rik 1.04680022976479 7.00407576121674e-10 3.66191352298397e-08
Sh3bgrl 0.940178723144542 7.24792129008048e-10 3.77299798758518e-08
Hamp2 -4.06358426306816 7.3838366467342e-10 3.82718257228357e-08
Poc1a 2.10006413354211 7.54471360691597e-10 3.89378459756071e-08
G3bp1 1.09704791275099 7.69230225759828e-10 3.9376620176508e-08
RP23-358B23.3 1.01948197469879 7.69522306983732e-10 3.9376620176508e-08
Mmgt1 0.972721247750218 7.7741873730378e-10 3.96121199833811e-08
Troap 1.99306168193309 7.98280532806182e-10 4.05034742911154e-08
Grk6 1.05815524814453 8.04285485021603e-10 4.06366930982554e-08
Ubl4 0.932383587752348 8.12827816282361e-10 4.0744087955653e-08
Topbp1 1.81689678787969 8.13187618241722e-10 4.0744087955653e-08
Tinf2 1.43739751639504 8.18531082206546e-10 4.08416442470279e-08
Tmem194 1.34048183894514 8.44777918949824e-10 4.19770846089737e-08
Hyls1 1.4278951567911 8.51170061529115e-10 4.21206583945992e-08
Lmna 1.72485238148769 8.77704356315281e-10 4.32557167405379e-08
Serpina10 1.93520416485458 8.95493972232452e-10 4.3882269007542e-08
Cdc25b 1.75622389434295 8.97716272420401e-10 4.3882269007542e-08
Cdc27 1.13754813135075 9.04523253967624e-10 4.4036000522108e-08
Itih4 2.16761953770172 9.09706579859833e-10 4.4109764608123e-08
Cenpn 1.88958374703761 9.34619583474178e-10 4.51357449448875e-08
Uox -1.47743443951858 9.53964388471546e-10 4.58856870854814e-08
Sass6 1.07296717765762 9.61143555110662e-10 4.60468177299032e-08
Kif14 1.13962593523664 1.03799785090717e-09 4.95314450680903e-08
